Title	Creator	Date	Source	Subject	Description	Digital Collection	Web Site	Contributing Institution	Rights	Type	Format	Media Type	Identifier	Language	SC County	Digitization Specifications	Date Digital	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Miscellaneous - Residence - Interior - tea sets on buffet	Cook, George LaGrange	1880 - 1895	Box 5; Temporary num. 138	Charleston (S.C.)	1 contact sheet; 20 x 12.5	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29346	Still Image	image/jpeg	Images	scook136	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/255	255	272.jp2	/scook/image/272.jp2
Charleston - Earthquake damage - Business - Roper Hospital, back, center	Cook, George LaGrange	1880 - 1895	Box 2; Temporary num. 39	Charleston (S.C.); Charleston Earthquake, S.C., 1887; Business enterprises--South Carolina--Charleston--Photographs; Hospitals--South Carolina--Charleston	4 contact sheets, 1 print; 20 x 12.5; Cracks in building and broken windows. Taken from second floor.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29247	Still Image	image/jpeg	Images	scook038	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/256	256	221.jp2	/scook/image/221.jp2
Miscellaneous - Portrait - Woman	Cook, George LaGrange	1880 - 1895	Box 8; Temporary num. 129	Charleston (S.C.); Women--Pictorial works	3 contact sheets; 10 x 12.5; Young woman in everyday dress and hat standing beside tree in woods.  Photo shows upper two-thirds of her.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29337	Still Image	image/jpeg	Images	scook127	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/257	257	257.jp2	/scook/image/257.jp2
Charleston - Residence - S.C. Menke artist / tailor, 62 Broad, and Oscar S. Miscally, plumber, 60 Broad.  Earlier and later the Confederate Home, 60-64 Broad St. (Also visible 58 Broad St.)	Cook, George LaGrange	1880 - 1895	Box 4; Temporary num. 67	Charleston (S.C.); Dwellings--South Carolina--Charleston--Photographs	1 contact sheet, 2 prints; 18 x 13; S.C. Menke's sign is more easily read on negative. Oscar Miscally's sign needs magnification. Confederate Home at 60-62 Broad in both 1886 and 1892 City Directories. Poston identifies this building as the Confederate Home, 60-62 Broad. Second Empire style with mansard slate roof and pressed metal dormers (5 across front) and cornices. Two wrought-iron balconies overlooking street on second floor. Three entrances on first floor. First and second floor extension on left overlooking stone-walled garden. Repaired after earthquake. 58 Broad also visible: three-story stone building with second story balcony, two dormer windows. Streetcar tracks, street lamp, brick street.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29275	Still Image	image/jpeg	Images	scook066	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/258	258	294.jp2	/scook/image/294.jp2
Charleston - Earthquake damage - Business - Roper Hospital, back, left side	Cook, George LaGrange	1880 - 1895	Box 2; Temporary num. 38	Charleston (S.C.); Charleston Earthquake, S.C., 1886; Business enterprises--South Carolina--Charleston--Photographs; Hospitals--South Carolina--Charleston	2 contact sheets, 1 print; 20 x 12.5; Cracks in building and broken windows. Taken from second floor.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29246	Still Image	image/jpeg	Images	scook037	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/259	259	216.jp2	/scook/image/216.jp2
Miscellaneous - Landscape - River	Cook, George LaGrange	1880 - 1895	Box 5; Temporary num. 121	Charleston (S.C.)	2 contact sheets; 20 x 12.5; Trees with Spanish moss beside river.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29329	Still Image	image/jpeg	Images	scook120	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/260	260	153.jp2	/scook/image/153.jp2
Summerville? Residence	Cook, George LaGrange	1880 - 1895	Box 4; Temporary num. 99	Summerville (S.C.)	2 contact sheets, 2 prints; 20.5 x 12.5; Four windows along the side. Large yard. Horse and buggy in the street.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29307	Still Image	image/jpeg	Images	scook098	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/261	261	247.jp2	/scook/image/247.jp2
Charleston - Miscellaneous - Rooftops and Harbor	Cook, George LaGrange	1880 - 1895	Box 7; Temporary num. 90	Charleston (S.C.); Charleston Harbor (S.C.)	1 contact sheet, 2 large print; 16.5 x 11; Facing east, taken from St. Phillip's Episcopal Church. Building slightly down and left of center has L. W. Bicaise Gun and Lock Works on side, at 22 - 24 State St. Large long building on left is F.W. Wagener and Co. Wholesale Grocers, 161-165 East Bay, and it stretches from East Bay to State St. along Queen St.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29298	Still Image	image/jpeg	Images	scook089	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/262	262	166.jp2	/scook/image/166.jp2
Charleston - Residence - Valk House, 125 Broad St. Corner of Broad and Legare Sts.	Cook, George LaGrange	1880 - 1895	Box 7; Temporary num. 72	Charleston (S.C.); Dwellings--South Carolina--Charleston--Photographs	2 contact sheets; 17.5 x 12.5; Broad St. side: covered entranceway, bay window on second floor with three narrow windows below, to left a long narrow window stretching two floors. Woodwork around attic windows. Brick and wrought iron fence. Telephone pole, tree guards, and streetcar tracks on Broad St. Built by Charles R. Valk of Valk and Murdoch Iron Co. in late 1880s	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29280	Still Image	image/jpeg	Images	scook071	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/263	263	207.jp2	/scook/image/207.jp2
Miscellaneous - Entrance to Fort Sumter, Confederate Guards	Cook, George S.	1861-04	Box 7; Accession no. 9909.3	Charleston (S.C.); Forts--South Carolina--Charleston	4 prints; 13.4 x 10.7	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29361	Still Image	image/jpeg	Images	scook149	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/264	264	265.jp2	/scook/image/265.jp2
